('Kapittel Watou Prior Ale', 'Belgian Strong Dark Ale', '11', '9.0', 'Belgium')
('Kasteel Cuvee du Chateau', 'Belgian Strong Dark Ale', '11', '11.0', 'Belgium')
('Kasteel Donker', 'Belgian Brown', '11', '11.0', 'Belgium')
('Kasteel Rouge', 'Belgian Brown', '12', '8.0', 'Belgium')
('Kasteel Tripel', 'Belgian Tripel', '11', '11.0', 'Belgium')
('Kwak', 'Belgian Amber', '12', '8.4', 'Belgium')
('La Binchoise Brune', 'Belgian Brown', '11', '8.2', 'Belgium')
('La Caracole Ambree', 'Belgian Amber', '11', '7.4', 'Belgium')
('La Caracole Nostradamus', 'Belgian Brown', '11', '9.5', 'Belgium')
('La Caracole Saxo', 'Belgian Blonde', '11', '8.0', 'Belgium')
('La Caracole Troublette', 'White Wheat', '11', '6.0', 'Belgium')
('La Chouffe', 'Belgian Golden', '25', '8.0', 'Belgium')
('La Guillotine', 'Belgian Strong Pale Ale', '25', '8.5', 'Belgium')
('Leffe Blonde', 'Belgian Blonde', '11', '6.6', 'Belgium')
('Leffe Brune', 'Belgian Brown', '12', '6.5', 'Belgium')
('Liefmans Cuvee Brut', 'Belgian Brown', '25', '6.0', 'Belgium')
('Liefmans Goudenband', 'Belgian Brown', '25', '8.0', 'Belgium')
('Lindeman''s Faro', 'Lambic', '12', '4.8', 'Belgium')
('Lindemans Cassis (Black Currant)', 'Lambic', '12', '4.0', 'Belgium')
('Lindemans Framboise (Raspberry)', 'Lambic', '12', '2.5', 'Belgium')
('Lindemans Gueuze Cuvee Rene', 'Lambic', '12', '5.0', 'Belgium')
('Lindemans Kriek (Cherry)', 'Lambic', '12', '4.0', 'Belgium')
('Lindemans Peche (Peach)', 'Lambic', '12', '2.5', 'Belgium')
('Lindemans Pomme (Green Apple)', 'Lambic', '12', '3.5', 'Belgium')
('Lucifer', 'Belgian Golden', '16', '8.0', 'Belgium')
('Malheur 10', 'Belgian Strong Pale Ale', '11', '10.0', 'Belgium')
('Malheur 12', 'Belgian Quad', '12', '12.0', 'Belgium')
('Maredsous 10', 'Belgian Tripel', '25', '10.0', 'Belgium')
('Maredsous 6', 'Belgian Blonde', '11', '6.0', 'Belgium')
('Maredsous 8', 'Belgian Dubbel', '25', '8.0', 'Belgium')
('McChouffe', 'Belgian Strong Dark Ale', '25', '8.0', 'Belgium')
('Moinette Blonde', 'Belgian Blonde', '25', '8.5', 'Belgium')
('Moinette Brune', 'Belgian Brown', '25', '8.5', 'Belgium')
('Monk''s Cafe Flemish Sour', 'Flemish Brown', '11', '5.5', 'Belgium')
('Orval Trappist Ale', 'Belgian Strong Pale Ale', '11', '6.0', 'Belgium')
('Oud Beersel Framboise', 'Lambic', '11', '5.0', 'Belgium')
('Oud Beersel Gueze', 'Lambic', '12', '6.0', 'Belgium')
('Oud Beersel Oude Kriek Vieille', 'Lambic', '11', '6.5', 'Belgium')
('Palm Ale', 'Belgian Amber', '11', '5.4', 'Belgium')
('Petrus Aged Pale', 'Flemish Red', '12', '7.3', 'Belgium')
('Petrus Aged Red', 'Flemish Red', '11', '8.5', 'Belgium')
('Petrus Dubbel Bruin', 'Belgian Dubbel', '12', '6.5', 'Belgium')
('Petrus Gouden Tripel', 'Belgian Tripel', '11', '7.5', 'Belgium')
('Petrus Oud Bruin', 'Flemish Brown', '12', '5.5', 'Belgium')
('Piraat', 'Belgian Strong Pale Ale', '11', '10.5', 'Belgium')
('Poperings Hommelbier', 'Belgian Strong Pale Ale', '11', '7.5', 'Belgium')
('Rince Cochon', 'Belgian Blonde', '25', '8.5', 'Belgium')
('Rochefort 10', 'Belgian Quad', '11', '11.0', 'Belgium')
('Rochefort 6', 'Belgian Dubbel', '11', '7.4', 'Belgium')
('Rochefort 8', 'Belgian Strong Dark Ale', '11', '9.1', 'Belgium')
('Rodenbach', 'Flemish Red', '11', '5.2', 'Belgium')
('Rodenbach Caractere Rogue', 'Flemish Red', '22', '7.0', 'Belgium')
('Rodenbach Grand Cru', 'Flemish Red', '25', '6.0', 'Belgium')
('Saison Dupont Vieille Provision', 'Saison', '11', '6.5', 'Belgium')
('Scaldis Ambrée', 'Belgian Strong Pale Ale', '11', '12.0', 'Belgium')
('Scaldis Noel', 'Belgian Strong Pale Ale', '25', '12.0', 'Belgium')
('Scaldis Peche Mel', 'Specialty Beer', '11', '8.5', 'Belgium')
('Scotch de Silly', 'Scotch Ale / Wee Heavy', '11', '8.0', 'Belgium')
('Silly Sour', 'Specialty Beer', '12', '5.5', 'Belgium')
